RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,43006362
2,"Russell Westbrook, PG",Washington Wizards,41358814
3,"Chris Paul, PG",Phoenix Suns,41358814
4,"James Harden, SG",Brooklyn Nets,41254920
5,"John Wall, PG",Houston Rockets,41254920
6,"Kevin Durant, PF",Brooklyn Nets,40108950
7,"LeBron James, SF",Los Angeles Lakers,39219565
8,"Paul George, F",LA Clippers,35450412
9,"Klay Thompson, SG",Golden State Warriors,35361360
10,"Mike Conley, PG",Utah Jazz,34502130
RK,NAME,TEAM,SALARY
11,"Jimmy Butler, SF",Miami Heat,34379100
12,"Kawhi Leonard, SF",LA Clippers,34379100
13,"Kemba Walker, PG",Boston Celtics,34379100
14,"Tobias Harris, PF",Philadelphia 76ers,34358850
15,"Khris Middleton, SF",Milwaukee Bucks,33051724
16,"Anthony Davis, PF",Los Angeles Lakers,32742000
17,"Kyrie Irving, PG",Brooklyn Nets,31742000
18,"Damian Lillard, PG",Portland Trail Blazers,31626953
19,"Kevin Love, PF",Cleveland Cavaliers,31258256
20,"Pascal Siakam, PF",Toronto Raptors,30559200
RK,NAME,TEAM,SALARY
21,"Ben Simmons, PG",Philadelphia 76ers,30559200
22,"Kyle Lowry, PG",Toronto Raptors,30500000
23,"Steven Adams, C",New Orleans Pelicans,29592696
24,"Joel Embiid, C",Philadelphia 76ers,29542010
25,"Andrew Wiggins, SF",Golden State Warriors,29542010
26,"Nikola Jokic, C",Denver Nuggets,29542010
27,"Devin Booker, SG",Phoenix Suns,29467800
28,"Karl-Anthony Towns, C",Minnesota Timberwolves,29467800
29,"Kristaps Porzingis, C",Dallas Mavericks,29467800
30,"CJ McCollum, SG",Portland Trail Blazers,29354152
RK,NAME,TEAM,SALARY
31,"Bradley Beal, SG",Washington Wizards,28751775
32,"D'Angelo Russell, PG",Minnesota Timberwolves,28649250
33,"Gordon Hayward, SF",Charlotte Hornets,28500000
34,"Otto Porter Jr., SF",Orlando Magic,28489237
35,"DeMar DeRozan, SF",San Antonio Spurs,27739975
36,"Giannis Antetokounmpo, PF",Milwaukee Bucks,27528090
37,"Rudy Gobert, C",Utah Jazz,27525281
38,"Al Horford, C",Oklahoma City Thunder,27500000
39,"Jamal Murray, PG",Denver Nuggets,27285000
40,"Brandon Ingram, SF",New Orleans Pelicans,27285000
